"id","cluster_C1","cluster_C2_original","cluster_C2","changed_cluster","silhouette_C1","silhouette_C2"
37,2,2,2,FALSE,0.556237517330551,0.522397108970548
38,2,2,2,FALSE,0.666593119858568,0.628218897322813
39,5,5,5,FALSE,0.778585871107827,0.66232336014236
40,2,2,2,FALSE,0.658344034819192,0.597106217134736
41,5,5,5,FALSE,0.782719908039492,0.714591981759089
42,6,6,6,FALSE,-0.00557316927966945,-0.101430625899485
43,2,2,2,FALSE,0.615808368203514,0.537462376758177
44,2,2,2,FALSE,0.777309268781237,0.731771540960434
45,2,2,2,FALSE,0.772220410231195,0.646654964611449
46,5,5,5,FALSE,0.791934755993803,0.719789455603601
47,2,4,4,TRUE,-0.108796233153263,-0.0633745241987319
48,5,5,5,FALSE,0.705074610358671,0.603556487381437
49,6,6,6,FALSE,0.394948395992743,0.182282736886974
50,2,2,2,FALSE,0.74042623965972,0.668413073543306
51,2,2,2,FALSE,0.775232177589938,0.721838115360239
52,2,2,2,FALSE,0.776985186553664,0.648800480866489
53,5,5,5,FALSE,0.773247410434084,0.712212411146651
54,2,2,2,FALSE,0.775710062382712,0.720162216851488
55,5,5,5,FALSE,0.748828531882643,0.686455499744508
56,2,2,2,FALSE,0.774046710477158,0.716719238219128
57,5,5,5,FALSE,0.704592929466653,0.638896875812841
58,7,7,7,FALSE,0.0591842557967498,0.0326011541889661
59,2,2,2,FALSE,0.756146229034127,0.703933757023762
60,2,2,2,FALSE,0.756914412289233,0.631802787913914
